feature	class_a	class_b	n_paired_receptors	median_paired_difference_a_minus_b	paired_difference_ci_low	paired_difference_ci_high	wilcoxon_statistic	p_value	p_fdr	comparison
intracellular_cavity_complete_wall_fraction_icl3	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_icl3	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_icl3	Gi/o	Gq/11	0							Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_tm2	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_tm2	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_tm2	Gi/o	Gq/11	0							Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_tm3	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_tm3	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_tm3	Gi/o	Gq/11	2	0.02015	0.0101999999999999	0.0301				Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_tm5	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_tm5	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_tm5	Gi/o	Gq/11	2	0.0138	0.0023999999999999	0.0252				Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_tm6	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_tm6	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_tm6	Gi/o	Gq/11	2	-0.0401499999999999	-0.0481999999999999	-0.0321				Gi/o vs Gq/11
intracellular_cavity_complete_wall_fraction_tm7	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_wall_fraction_tm7	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_wall_fraction_tm7	Gi/o	Gq/11	2	0.00695	-0.0049999999999999	0.0189				Gi/o vs Gq/11
intracellular_cavity_core_asymmetry	Gs	Gi/o	8	0.0148999999999999	-0.0405	0.0714	16.0	0.84375	1.0	Gs vs Gi/o
intracellular_cavity_core_asymmetry	Gs	Gq/11	4	-0.0078	-0.0228999999999999	0.0374				Gs vs Gq/11
intracellular_cavity_core_asymmetry	Gi/o	Gq/11	13	0.0112999999999999	-0.0461999999999999	0.0356	42.0	0.83935546875	1.0	Gi/o vs Gq/11
intracellular_cavity_core_average_cross_section	Gs	Gi/o	8	4.002949999999999	-3.7102	9.688299999999998	9.0	0.25	1.0	Gs vs Gi/o
intracellular_cavity_core_average_cross_section	Gs	Gq/11	4	-4.891900000000003	-13.300300000000007	20.2755				Gs vs Gq/11
intracellular_cavity_core_average_cross_section	Gi/o	Gq/11	13	-5.745999999999995	-11.759599999999992	-0.0576000000000007	25.0	0.167724609375	0.9823679526646932	Gi/o vs Gq/11
intracellular_cavity_core_bottleneck_area	Gs	Gi/o	8	-0.8450000000000002	-3.802499999999995	3.38	18.0	1.0	1.0	Gs vs Gi/o
intracellular_cavity_core_bottleneck_area	Gs	Gq/11	4	-3.5912499999999983	-5.07	-2.1125000000000007				Gs vs Gq/11
intracellular_cavity_core_bottleneck_area	Gi/o	Gq/11	13	-2.1125000000000003	-4.6475	-0.4224999999999994	20.5	0.08349609375	0.8306587837837838	Gi/o vs Gq/11
intracellular_cavity_core_bottleneck_radius	Gs	Gi/o	8	-0.0726	-0.4650000000000001	0.2330999999999998	15.0	0.7421875	1.0	Gs vs Gi/o
intracellular_cavity_core_bottleneck_radius	Gs	Gq/11	4	-0.37335	-0.7850999999999999	-0.1160000000000001				Gs vs Gq/11
intracellular_cavity_core_bottleneck_radius	Gi/o	Gq/11	13	-0.2857	-0.3395999999999999	-0.0425999999999999	17.0	0.0478515625	0.8306587837837838	Gi/o vs Gq/11
intracellular_cavity_core_centroid_x	Gs	Gi/o	8	-0.0551	-0.3221	0.134	12.0	0.4609375	1.0	Gs vs Gi/o
intracellular_cavity_core_centroid_x	Gs	Gq/11	4	-0.1809	-0.556	0.3824999999999999				Gs vs Gq/11
intracellular_cavity_core_centroid_x	Gi/o	Gq/11	13	0.0446999999999999	-0.1964999999999999	0.1830999999999999	44.0	0.946044921875	1.0	Gi/o vs Gq/11
intracellular_cavity_core_centroid_y	Gs	Gi/o	8	-0.1035	-0.3269999999999999	0.1181000000000001	13.0	0.546875	1.0	Gs vs Gi/o
intracellular_cavity_core_centroid_y	Gs	Gq/11	4	0.0957000000000001	-1.1241	0.2044000000000001				Gs vs Gq/11
intracellular_cavity_core_centroid_y	Gi/o	Gq/11	13	0.0244999999999999	-0.1391999999999997	0.4596	43.0	0.892578125	1.0	Gi/o vs Gq/11
intracellular_cavity_core_centroid_z	Gs	Gi/o	8	0.0885500000000005	-0.7152000000000003	0.1366000000000005	16.0	0.84375	1.0	Gs vs Gi/o
intracellular_cavity_core_centroid_z	Gs	Gq/11	4	-0.1181000000000001	-0.6486000000000001	0.3501000000000003				Gs vs Gq/11
intracellular_cavity_core_centroid_z	Gi/o	Gq/11	13	-0.1477000000000004	-0.4287999999999998	0.1886000000000001	31.0	0.339599609375	1.0	Gi/o vs Gq/11
intracellular_cavity_core_depth	Gs	Gi/o	8	-0.6499999999999986	-0.6499999999999986	0.0	6.0	0.40625	1.0	Gs vs Gi/o
intracellular_cavity_core_depth	Gs	Gq/11	4	-0.3249999999999993	-0.6500000000000004	0.6499999999999986				Gs vs Gq/11
intracellular_cavity_core_depth	Gi/o	Gq/11	13	0.0	-0.6499999999999986	0.0	12.5	0.8125	1.0	Gi/o vs Gq/11
intracellular_cavity_core_eccentricity	Gs	Gi/o	8	-0.0192999999999999	-0.0831	0.0008999999999999	5.0	0.078125	0.8306587837837838	Gs vs Gi/o
intracellular_cavity_core_eccentricity	Gs	Gq/11	4	-0.0136999999999999	-0.1596999999999999	0.0057				Gs vs Gq/11
intracellular_cavity_core_eccentricity	Gi/o	Gq/11	13	0.0029	-0.0179	0.0055999999999999	45.0	1.0	1.0	Gi/o vs Gq/11
intracellular_cavity_core_max_inscribed_radius	Gs	Gi/o	8	-0.0155499999999997	-1.5243000000000002	2.042300000000001	17.0	0.9453125	1.0	Gs vs Gi/o
intracellular_cavity_core_max_inscribed_radius	Gs	Gq/11	4	-0.2938499999999999	-1.2230000000000008	3.0623000000000005				Gs vs Gq/11
intracellular_cavity_core_max_inscribed_radius	Gi/o	Gq/11	13	-0.1290000000000004	-0.6633000000000013	0.8147000000000002	45.0	1.0	1.0	Gi/o vs Gq/11
intracellular_cavity_core_maximum_width	Gs	Gi/o	8	0.2730000000000006	-0.5852000000000004	0.8820000000000014	11.0	0.3828125	1.0	Gs vs Gi/o
intracellular_cavity_core_maximum_width	Gs	Gq/11	4	0.0671500000000007	-1.080499999999999	2.319500000000001				Gs vs Gq/11
intracellular_cavity_core_maximum_width	Gi/o	Gq/11	13	-0.1975999999999995	-0.8169000000000004	0.5990000000000002	34.0	0.454833984375	1.0	Gi/o vs Gq/11
intracellular_cavity_core_mouth_area	Gs	Gi/o	8	5.703749999999999	-11.4075	16.900000000000006	10.0	0.3125	1.0	Gs vs Gi/o
intracellular_cavity_core_mouth_area	Gs	Gq/11	4	1.9012500000000043	-21.970000000000013	41.8275				Gs vs Gq/11
intracellular_cavity_core_mouth_area	Gi/o	Gq/11	13	-4.64749999999998	-19.857500000000016	11.829999999999998	33.0	0.414306640625	1.0	Gi/o vs Gq/11
intracellular_cavity_core_principal_axis_1_z_alignment	Gs	Gi/o	8	-0.00625	-0.0574999999999999	0.0133999999999999	13.0	0.546875	1.0	Gs vs Gi/o
intracellular_cavity_core_principal_axis_1_z_alignment	Gs	Gq/11	4	-0.0053	-0.183	0.131				Gs vs Gq/11
